criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,preparationTime
entropy,300,2,5,None,0.8666666666666668,0.905,0.8222222222222222,0.8585913312693499,0.22730776333337416
entropy,300,5,5,None,0.8222222222222222,0.8467948717948717,0.8222222222222222,0.8249108734402852,0.2273077988888771
entropy,300,10,5,None,0.8555555555555555,0.8805555555555555,0.8222222222222222,0.8496732026143791,0.22730783666678084
entropy,300,2,10,None,0.8444444444444444,0.8202020202020203,0.888888888888889,0.8511111111111112,0.22730787444452288
entropy,300,5,10,None,0.8333333333333334,0.8174242424242424,0.8666666666666668,0.8380392156862746,0.22730791222226496
entropy,300,10,10,None,0.8333333333333334,0.8174242424242424,0.8666666666666668,0.8380392156862746,0.227307950000007
entropy,300,2,1,sqrt,0.7777777777777778,0.7720490620490621,0.7777777777777778,0.7701530787753698,0.22730798777774908
entropy,300,5,1,sqrt,0.8555555555555555,0.8800505050505052,0.8444444444444444,0.8453408029878619,0.22730802555565283
entropy,300,10,1,sqrt,0.7444444444444444,0.8287878787878789,0.6222222222222221,0.6900667959491489,0.22730806444451446
entropy,300,2,2,sqrt,0.7777777777777778,0.8387878787878786,0.6888888888888889,0.7409523809523809,0.2273081033333761
entropy,300,5,2,sqrt,0.788888888888889,0.7988888888888888,0.7777777777777778,0.7686652528757791,0.22730814111111816
entropy,300,10,2,sqrt,0.8222222222222222,0.8454545454545455,0.7999999999999999,0.8098894294559928,0.22730817777774065
entropy,300,2,5,sqrt,0.7777777777777778,0.8106837606837608,0.8,0.7836176895000424,0.22730821444452481
entropy,300,5,5,sqrt,0.788888888888889,0.8482323232323232,0.7333333333333333,0.7667370537958773,0.22730824888890816
entropy,300,10,5,sqrt,0.7222222222222221,0.690986790986791,0.8666666666666666,0.7605252525252525,0.2273082844444111
entropy,300,2,10,sqrt,0.8333333333333334,0.8328282828282829,0.8666666666666666,0.8434547152194212,0.22730832222231484
entropy,300,5,10,sqrt,0.7555555555555556,0.8800000000000001,0.6222222222222222,0.6282099479467901,0.22730835888893733
entropy,300,10,10,sqrt,0.711111111111111,0.7440170940170939,0.6888888888888889,0.6791919191919191,0.2273084000000381
